fetched_at,league,match_id,commence_time,home_team,away_team,outcome,pinnacle_odds,pinnacle_fair_prob,unibet_se_odds,unibet_se_edge,best_book,best_odds,best_edge,flag
2026-08-10T11:07:32.914692+00:00,soccer_sweden_allsvenskan,a145c2b49092d2dc91f0b10ef800dcfd,2026-08-16T12:00:00Z,Degerfors IF,IFK Goteborg,Draw,3.38,0.2793,3.45,-0.0364,leovegas,3.5,-0.0224,
2026-08-10T11:07:32.914826+00:00,soccer_sweden_allsvenskan,8d80fef290ee2938beb4b70878c52392,2026-08-16T14:30:00Z,GAIS,Malmo FF,GAIS,2.15,0.4385,2.23,-0.0221,unibet_se,2.23,-0.0221,
2026-08-10T11:07:32.914826+00:00,soccer_sweden_allsvenskan,8d80fef290ee2938beb4b70878c52392,2026-08-16T14:30:00Z,GAIS,Malmo FF,Malmo FF,3.14,0.3003,3.2,-0.0391,unibet_se,3.2,-0.0391,
2026-08-10T11:07:32.914826+00:00,soccer_sweden_allsvenskan,8d80fef290ee2938beb4b70878c52392,2026-08-16T14:30:00Z,GAIS,Malmo FF,Draw,3.61,0.2612,3.7,-0.0336,unibet_se,3.7,-0.0336,
2026-08-10T11:07:32.914941+00:00,soccer_sweden_allsvenskan,ad13fd726816f83cbb2fd5f7b27021b5,2026-08-16T14:30:00Z,Kalmar FF,Hammarby IF,Hammarby IF,1.78,0.5309,1.79,-0.0497,gtbets,1.8,-0.0444,
2026-08-10T11:07:32.914941+00:00,soccer_sweden_allsvenskan,ad13fd726816f83cbb2fd5f7b27021b5,2026-08-16T14:30:00Z,Kalmar FF,Hammarby IF,Kalmar FF,4.19,0.2255,4.6,0.0375,unibet_se,4.6,0.0375,VALUE
2026-08-10T11:07:32.914941+00:00,soccer_sweden_allsvenskan,ad13fd726816f83cbb2fd5f7b27021b5,2026-08-16T14:30:00Z,Kalmar FF,Hammarby IF,Draw,3.88,0.2436,4.0,-0.0258,unibet_se,4.0,-0.0258,
2026-08-10T11:07:32.915065+00:00,soccer_sweden_allsvenskan,5a522fe54ae01be40f5c1969281e05b0,2026-08-17T17:00:00Z,BK Hacken,Halmstads BK,BK Hacken,1.34,0.7006,,,nordicbet,1.35,-0.0542,
2026-08-10T11:07:32.915065+00:00,soccer_sweden_allsvenskan,5a522fe54ae01be40f5c1969281e05b0,2026-08-17T17:00:00Z,BK Hacken,Halmstads BK,Halmstads BK,7.19,0.1306,,,onexbet,7.35,-0.0403,
2026-08-10T11:07:32.915065+00:00,soccer_sweden_allsvenskan,5a522fe54ae01be40f5c1969281e05b0,2026-08-17T17:00:00Z,BK Hacken,Halmstads BK,Draw,5.56,0.1688,,,onexbet,5.4,-0.0882,
2026-08-11T11:33:05.885749+00:00,soccer_norway_eliteserien,e7898a66276957ac39eb9d5cd794c637,2026-08-14T17:00:00Z,Rosenborg,Viking FK,Rosenborg,2.65,0.3599,2.63,-0.0535,onexbet,2.67,-0.0391,
2026-08-11T11:33:05.885749+00:00,soccer_norway_eliteserien,e7898a66276957ac39eb9d5cd794c637,2026-08-14T17:00:00Z,Rosenborg,Viking FK,Viking FK,2.35,0.4058,2.32,-0.0585,onexbet,2.4,-0.026,
2026-08-11T11:33:05.885749+00:00,soccer_norway_eliteserien,e7898a66276957ac39eb9d5cd794c637,2026-08-14T17:00:00Z,Rosenborg,Viking FK,Draw,4.07,0.2343,3.65,-0.1448,gtbets,4.01,-0.0604,
2026-08-11T11:33:05.885950+00:00,soccer_norway_eliteserien,b1e3a1ca106ecfc9319796d74046c2a0,2026-08-15T14:00:00Z,KFUM,Lillestrom,KFUM,2.76,0.3461,2.7,-0.0655,betonlineag,2.74,-0.0517,
2026-08-11T11:33:05.885950+00:00,soccer_norway_eliteserien,b1e3a1ca106ecfc9319796d74046c2a0,2026-08-15T14:00:00Z,KFUM,Lillestrom,Lillestrom,2.55,0.3746,2.38,-0.1085,gtbets,2.52,-0.056,
2026-08-11T11:33:05.885950+00:00,soccer_norway_eliteserien,b1e3a1ca106ecfc9319796d74046c2a0,2026-08-15T14:00:00Z,KFUM,Lillestrom,Draw,3.42,0.2793,3.4,-0.0504,unibet_uk,3.6,0.0055,
2026-08-11T11:33:05.886090+00:00,soccer_norway_eliteserien,71cde5854df64d0c125026c01fdf5801,2026-08-16T12:30:00Z,Aalesund,Vålerenga,Aalesund,2.84,0.3354,2.75,-0.0775,nordicbet,2.95,-0.0105,
2026-08-11T11:33:05.886090+00:00,soccer_norway_eliteserien,71cde5854df64d0c125026c01fdf5801,2026-08-16T12:30:00Z,Aalesund,Vålerenga,Vålerenga,2.27,0.4197,2.28,-0.0432,unibet_nl,2.28,-0.0432,
2026-08-11T11:33:05.886090+00:00,soccer_norway_eliteserien,71cde5854df64d0c125026c01fdf5801,2026-08-16T12:30:00Z,Aalesund,Vålerenga,Draw,3.89,0.2449,3.65,-0.1061,betfred_uk,4.0,-0.0204,
2026-08-11T11:33:05.886259+00:00,soccer_norway_eliteserien,029f6bfe29cfa3b2d7253fe87b9c3dc7,2026-08-16T15:00:00Z,SK Brann,HamKam,HamKam,5.98,0.1589,5.8,-0.0783,onexbet,5.84,-0.0719,
2026-08-11T11:33:05.886259+00:00,soccer_norway_eliteserien,029f6bfe29cfa3b2d7253fe87b9c3dc7,2026-08-16T15:00:00Z,SK Brann,HamKam,SK Brann,1.53,0.6211,1.47,-0.087,onexbet,1.54,-0.0435,
2026-08-11T11:33:05.886259+00:00,soccer_norway_eliteserien,029f6bfe29cfa3b2d7253fe87b9c3dc7,2026-08-16T15:00:00Z,SK Brann,HamKam,Draw,4.32,0.22,4.35,-0.0431,unibet_uk,4.5,-0.0101,
2026-08-11T11:33:05.886396+00:00,soccer_norway_eliteserien,d946c99484025d2fb1182a2860943359,2026-08-16T15:00:00Z,Molde,Tromso,Molde,2.27,0.4206,2.33,-0.0201,unibet_nl,2.33,-0.0201,
2026-08-11T11:33:05.886396+00:00,soccer_norway_eliteserien,d946c99484025d2fb1182a2860943359,2026-08-16T15:00:00Z,Molde,Tromso,Tromso,2.97,0.3214,2.8,-0.1,onexbet,2.98,-0.0421,
2026-08-11T11:33:05.886396+00:00,soccer_norway_eliteserien,d946c99484025d2fb1182a2860943359,2026-08-16T15:00:00Z,Molde,Tromso,Draw,3.7,0.258,3.35,-0.1357,betfair_sb_uk,3.7,-0.0453,
2026-08-11T11:33:05.886530+00:00,soccer_norway_eliteserien,212bff296b4c00730355c327b34f0dae,2026-08-16T15:00:00Z,Sarpsborg FK,Sandefjord,Sandefjord,4.23,0.2254,3.75,-0.1547,onexbet,4.2,-0.0533,
2026-08-11T11:33:05.886530+00:00,soccer_norway_eliteserien,212bff296b4c00730355c327b34f0dae,2026-08-16T15:00:00Z,Sarpsborg FK,Sandefjord,Sarpsborg FK,1.78,0.5356,1.78,-0.0466,betsson,1.8,-0.0358,
2026-08-11T11:33:05.886530+00:00,soccer_norway_eliteserien,212bff296b4c00730355c327b34f0dae,2026-08-16T15:00:00Z,Sarpsborg FK,Sandefjord,Draw,3.99,0.239,3.9,-0.0681,betfair_sb_uk,4.1,-0.0203,
2026-08-11T11:33:05.886665+00:00,soccer_norway_eliteserien,de5e7844ab0a9a374e350704d975df62,2026-08-16T17:15:00Z,Fredrikstad FK,Kristiansund BK,Fredrikstad FK,1.89,0.5033,2.0,0.0065,unibet_nl,2.0,0.0065,
